"brewery_id"	"brewery_name"	"city"	"state"	"lon"	"lat"	"address"
502	"Sea Dog Brewing Company"	"Portland"	" ME"	-70.3190105	43.6351676	"125 western ave, south portland, me 04106, usa"
503	"Oskar Blues Brewery"	"Lyons"	" CO"	-105.268593	40.224328	"303 main st, lyons, co 80540, usa"
504	"Carolina Beer & Beverage"	"Mooresville"	" NC"	-80.7194618	35.1168219	"131 matthews station st #1c, matthews, nc 28105, usa"
505	"Krebs Brewing Company (Pete's Pl..."	"Krebs"	" OK"	-95.724787	34.925847	"120 southwest 8th street, krebs, ok 74554, usa"
506	"Warbird Brewing Company"	"Fort Wayne"	" IN"	-85.1669084	41.0780284	"1825 w main st, fort wayne, in 46808, usa"
507	"Mudshark Brewing Company"	"Lake Havasu City"	" AZ"	-114.341063	34.468697	"210 swanson ave, lake havasu city, az 86403, usa"
508	"Spilker Ales"	"Cortland"	" NE"	-96.7070316	40.5058411	"300 w 4th st, cortland, ne 68331, usa"
509	"Wingman Brewers"	"Tacoma"	" WA"	-122.427364	47.241094	"509 1/2 puyallup ave, tacoma, wa 98421, usa"
510	"Kettle House Brewing Company"	"Missoula"	" MT"	-113.995288	46.8779152	"313 n 1st st w, missoula, mt 59802, usa"
511	"Sherwood Forest Brewers"	"Marlborough"	" MA"	-71.5128178	42.3429084	"655 farm rd, marlborough, ma 01752, usa"
512	"Cottrell Brewing"	"Pawcatuck"	" CT"	-71.8333993	41.3699057	"100 mechanic st #22, pawcatuck, ct 06379, usa"
513	"Arctic Craft Brewery"	"Colorado Springs"	" CO"	-104.8707774	38.8487338	"2845 ore mill rd #1, colorado springs, co 80904, usa"
514	"Monkey Paw Pub & Brewery"	"San Diego"	" CA"	-117.149263	32.713856	"805 16th st, san diego, ca 92101, usa"
515	"Crabtree Brewing Company"	"Greeley"	" CO"	-104.7268924	40.3909542	"2961 29th st, greeley, co 80631, usa"
516	"Emerald City Beer Company"	"Seattle"	" WA"	-122.3204791	47.5765665	"3100 airport way s, seattle, wa 98134, usa"
517	"Butcher's Brewing"	"Carlsbad"	" CA"	-116.97963	32.832084	"9962 prospect ave, santee, ca 92071, usa"
518	"New South Brewing Company"	"Myrtle Beach"	" SC"	-78.8898272	33.6980426	"1109 campbell st, myrtle beach, sc 29577, usa"
519	"Big River Brewing Company"	"Chattanooga"	" TN"	-85.1627571	35.0336325	"2020 hamilton pl blvd, chattanooga, tn 37421, usa"
520	"Twisted Pine Brewing Company"	"Boulder"	" CO"	-105.251073	40.020766	"3201 walnut st ste a, boulder, co 80301, usa"
521	"Flying Dog Brewery"	"Frederick"	" MD"	-77.426773	39.362807	"4607 wedgewood blvd, frederick, md 21703, usa"
522	"Uncommon Brewers"	"Santa Cruz"	" CA"	-122.030982	36.9819604	"303 potrero st #40h, santa cruz, ca 95060, usa"
523	"Aspen Brewing Company"	"Aspen"	" CO"	-106.818427	39.189864	"121 south galena street #a, aspen, co 81611, united states"
524	"Triangle Brewing Company"	"Durham"	" NC"	-78.8891001	35.9967704	"918 pearl st, durham, nc 27701, usa"
525	"Bomb Beer Company"	"New York"	" NY"	-73.9953302	40.7265621	"648 broadway, new york, ny 10012, usa"
526	"Churchkey Can Company"	"Seattle"	" WA"	-122.3320708	47.6062095	"seattle, wa, usa"
527	"Intuition Ale Works"	"Jacksonville"	" FL"	-81.644708	30.323491	"929 e bay st, jacksonville, fl 32202, usa"
528	"Asheville Brewing Company"	"Asheville"	" NC"	-82.555291	35.591666	"77 coxe ave, asheville, nc 28801, usa"
529	"Northwoods Brewpub"	"Eau Claire"	" WI"	-91.2275911	44.5809177	"50819 west st, osseo, wi 54758, usa"
530	"Buckbean Brewing Company"	"Reno"	" NV"	-119.789949	39.4762246	"5525 s virginia st, reno, nv 89502, usa"
531	"Dolores River Brewery"	"Dolores"	" CO"	-108.5046646	37.4735404	"100 4th st, dolores, co 81323, usa"
532	"Flat Rock Brewing Company"	"Smithton"	" PA"	-84.124769	41.3907959	"127 west washington ave, napoleon, oh 43545, usa"
533	"Abita Brewing Company"	"Abita Springs"	" LA"	-90.0558232	30.4819417	"166 barbee rd, covington, la 70433, usa"
534	"Mammoth Brewing Company"	"Mammoth Lakes"	" CA"	-118.9834739	37.6487002	"18 lake mary rd, mammoth lakes, ca 93546, usa"
535	"Harvest Moon Brewing Company"	"Belt"	" MT"	-110.9295669	47.3849364	"7 5th st s, belt, mt 59412, usa"
536	"Grand Canyon Brewing Company"	"Williams"	" AZ"	-112.1953305	35.2509576	"301 n 7th st, williams, az 86046, usa"
537	"Lewis and Clark Brewing Company"	"Helena"	" MT"	-112.02171	46.600384	"1517 dodge ave, helena, mt 59601, usa"
538	"Dundee Brewing Company"	"Rochester"	" NY"	-77.6119478	43.1424151	"378 mt hope ave, rochester, ny 14620, usa"
