AID	TelemDate	TimeLag	AEA_X	AEA_Y
56B	2010-05-07 01:00:00.000	60	-1059450.78459943	2494839.09673984
56B	2010-05-07 02:00:00.000	60	-1059448.59174221	2494843.28274076
56B	2010-05-07 03:00:00.000	60	-1059459.54657666	2494839.2208075
56B	2010-05-07 04:00:00.000	60	-1059455.32424978	2494835.24518199
56B	2010-05-07 05:00:00.000	60	-1059480.36006435	2494553.15683806
56B	2010-05-07 06:00:00.000	60	-1059548.60281661	2494791.18303999
56B	2010-05-07 07:00:00.000	60	-1061714.72811415	2494652.60794564
56B	2010-05-07 08:00:00.000	60	-1062091.10345957	2494420.69598434
56B	2010-05-07 09:00:00.000	60	-1062057.39953608	2494488.98654952
56B	2010-05-07 10:00:00.000	60	-1062165.3263915	2494538.14638696
56B	2010-05-07 11:00:00.000	60	-1062875.63756786	2493852.35859829
56B	2010-05-07 12:00:00.000	60	-1063118.89097417	2493948.9971768
56B	2010-05-07 13:00:00.000	60	-1063412.9573293	2493935.93897536
56B	2010-05-07 14:00:00.000	60	-1063407.60327921	2493967.79069695
56B	2010-05-07 15:00:00.000	60	-1063350.14694323	2493989.9410273
56B	2010-05-07 16:00:00.000	60	-1063313.83185066	2493998.24416566
56B	2010-05-07 17:00:00.000	60	-1063351.31445718	2493920.3741279
56B	2010-05-07 18:00:00.000	60	-1062483.46110781	2493853.66666938
56B	2010-05-07 19:00:00.000	60	-1062401.70632197	2494096.17017939
56B	2010-05-07 20:00:00.000	60	-1062518.1122679	2494119.55325078
56B	2010-05-07 21:00:00.000	60	-1062511.38100916	2494121.96542392
56B	2010-05-07 22:00:00.000	60	-1062512.78292101	2494128.9140763
56B	2010-05-07 23:00:00.000	60	-1062602.62603028	2494109.13733178
56B	2010-05-08 00:00:00.000	60	-1062641.12354024	2494107.89127981
56B	2010-05-08 01:00:00.000	60	-1062630.95311985	2494106.43764974
56B	2010-05-08 02:00:00.000	60	-1062633.1426056	2494107.8753058
56B	2010-05-08 03:00:00.000	60	-1062633.30547046	2494101.15026548
56B	2010-05-08 04:00:00.000	60	-1062634.55508268	2494103.57831231
56B	2010-05-08 05:00:00.000	60	-1062603.5499675	2494125.01544311
56B	2010-05-08 06:00:00.000	60	-1062702.75549897	2493805.15189695
56B	2010-05-08 07:00:00.000	60	-1063062.75250171	2493906.10347812
56B	2010-05-08 08:00:00.000	60	-1063033.94672992	2494074.068805
56B	2010-05-08 09:00:00.000	60	-1063297.44298805	2493956.53448243
56B	2010-05-08 10:00:00.000	60	-1062868.75282222	2494012.21059181
56B	2010-05-08 11:00:00.000	60	-1062651.96682158	2494059.95339197
56B	2010-05-08 12:00:00.000	60	-1062193.50287839	2494178.892736
56B	2010-05-08 13:00:00.000	60	-1061691.53165935	2494697.65669457
